fid,item_id,lon,lat,Year
553,2077,-3.483333,37.083333,After 2000
554,2077,-2.45,37.833333,After 2000
555,2077,-2.85,38.033333,After 2000
556,2077,-4.333333,38.5,After 2000
557,2077,-4.266667,39.383333,After 2000
558,2077,0.833333,42.716667,After 2000
559,2077,-6.183333,43.116667,After 2000
560,2078,-135,58,Before 2000
561,2079,-81.67,33.25,After 2000
562,2080,-115.65,34.8,After 2000
563,2102,-121.32,37.95,After 2000
564,2102,-121.5,38.52,After 2000
565,2103,-90.89,17.43,After 2000
566,2108,-97.08,36.13,After 2000
567,2110,148.94,-31.97,After 2000
568,2111,101.83,14.08,After 2000
569,2112,-7.89,41.25,After 2000
570,2115,36.9,0.29,After 2000
571,2116,47.42,-21.13,After 2000
572,2116,-71.37,-11.9,After 2000
573,2116,-75.2,-10.49,After 2000
574,2116,36.89,-7.84,After 2000
575,2116,104.17,-5.25,After 2000
576,2116,-59.98,-2.93,After 2000
577,2116,-51.43,-1.79,After 2000
578,2116,29.66,-1.08,After 2000
579,2116,-76.4,-0.67,After 2000
580,2116,16.6,2.52,After 2000
581,2116,102.31,2.98,After 2000
582,2116,8.85,5.07,After 2000
583,2116,-79.85,9.15,After 2000
584,2116,-84.03,10.3,After 2000
585,2117,117.69,5.1,After 2000
586,2117,117.56,5.17,After 2000
587,2119,48.5,7.61,After 2000
588,2123,116.97,-32.78,After 2000
589,2123,117.33,-32.55,After 2000
590,2130,99.45,8.87,After 2000
591,2132,-73.47,-39.866667,After 2000
592,2132,-73.47,-40.18,After 2000
593,2133,-73.99,-42.68,After 2000
594,2133,-71.25,-29.9,After 2000
596,2141,153.09,-25.91,After 2000
595,2141,153.62,-28.64,After 2000
597,2142,36.72,-8.68,After 2000
598,2142,36.68,-7.8,After 2000
599,2142,37.3,-7.4,After 2000
600,2142,37.67,-7.17,After 2000
601,2142,37,-6.47,After 2000
602,2142,36.87,-6.26,After 2000
603,2142,38.5,-4.75,After 2000
604,2142,37.75,-4,After 2000
605,2142,38.33,-3.42,After 2000
606,2142,37.6,-2.13,After 2000
607,2149,-76.17,-0.62,After 2000
608,2163,146.39,-39.01,After 2000
609,2170,78.9,30.62,After 2000
610,2198,-85.3,42.54,After 2000
611,2202,8.15,48.3,After 2000
612,2203,123.76,-16.13,After 2000
613,2209,-155.47,19.82,Before 2000
614,2213,36.67,0.08,After 2000
615,2214,-56.47,-9.88,After 2000
616,2222,-116,51.5,After 2000
617,2234,113.69,2.23,After 2000
618,2234,115.22,3.3,After 2000
619,2234,115.49,3.83,After 2000
620,2234,114.88,4.1,After 2000
621,2234,115.71,4.36,After 2000
622,2234,115.47,4.39,After 2000
623,2234,116.94,4.73,After 2000
624,2236,10.03,-2.7,After 2000
